Repetition_nr;Nitrogen_level;Soil_conditioning;Setup_IAN;Invasive_species;Species;Status;Shoot_dry_weight;Root_dry_weight
1;4;T;N;Solidago_gigantea;Centaurea;N;42,7;9,4
1;4;T;N;Solidago_gigantea;Plantago;N;14,4;11,2
1;4;T;N;Solidago_gigantea;Ranunculus;N;13;11,2
2;4;T;N;Solidago_gigantea;Agrostis;N;15,3;10,6
2;4;T;N;Solidago_gigantea;Centaurea;N;47,4;38,8
2;4;T;N;Solidago_gigantea;Plantago;N;40,6;21,1
2;4;T;N;Solidago_gigantea;Ranunculus;N;7;1,9
3;4;T;N;Solidago_gigantea;Agrostis;N;7,7;10,5
3;4;T;N;Solidago_gigantea;Centaurea;N;30,9;40,3
3;4;T;N;Solidago_gigantea;Plantago;N;9,4;12,4
3;4;T;N;Solidago_gigantea;Ranunculus;N;0;0
1;8;T;N;Solidago_gigantea;Agrostis;N;0,8;0,9
1;8;T;N;Solidago_gigantea;Centaurea;N;100,2;73
1;8;T;N;Solidago_gigantea;Plantago;N;66,5;52,2
1;8;T;N;Solidago_gigantea;Ranunculus;N;3,5;0
2;8;T;N;Solidago_gigantea;Agrostis;N;11,1;4,5
2;8;T;N;Solidago_gigantea;Centaurea;N;91,4;53,4
2;8;T;N;Solidago_gigantea;Plantago;N;110,8;65,4
2;8;T;N;Solidago_gigantea;Ranunculus;N;0;0
3;8;T;N;Solidago_gigantea;Agrostis;N;137,1;52,5
3;8;T;N;Solidago_gigantea;Centaurea;N;38,3;14,5
3;8;T;N;Solidago_gigantea;Plantago;N;0;0
3;8;T;N;Solidago_gigantea;Ranunculus;N;0;0
1;16;T;N;Solidago_gigantea;Agrostis;N;34,5;14,7
1;16;T;N;Solidago_gigantea;Centaurea;N;181,3;144,5
1;16;T;N;Solidago_gigantea;Plantago;N;358,7;223,8
1;16;T;N;Solidago_gigantea;Ranunculus;N;52,3;45,9
2;16;T;N;Solidago_gigantea;Agrostis;N;11,4;9,8
2;16;T;N;Solidago_gigantea;Centaurea;N;296,2;73,1
2;16;T;N;Solidago_gigantea;Plantago;N;344,8;66,2
2;16;T;N;Solidago_gigantea;Ranunculus;N;0;0
3;16;T;N;Solidago_gigantea;Agrostis;N;46,6;13,3
3;16;T;N;Solidago_gigantea;Centaurea;N;177;130,7
3;16;T;N;Solidago_gigantea;Plantago;N;303,8;85,8
3;16;T;N;Solidago_gigantea;Ranunculus;N;0;0
1;32;T;N;Solidago_gigantea;Agrostis;N;0;0
1;32;T;N;Solidago_gigantea;Centaurea;N;401,8;283,3
1;32;T;N;Solidago_gigantea;Plantago;N;316,5;168,2
1;32;T;N;Solidago_gigantea;Ranunculus;N;234,4;136,1
2;32;T;N;Solidago_gigantea;Agrostis;N;232,4;48,6
2;32;T;N;Solidago_gigantea;Centaurea;N;210,1;108,2
2;32;T;N;Solidago_gigantea;Plantago;N;391;260,6
2;32;T;N;Solidago_gigantea;Ranunculus;N;35,4;32
3;32;T;N;Solidago_gigantea;Agrostis;N;0,5;2,9
3;32;T;N;Solidago_gigantea;Centaurea;N;381,6;211
3;32;T;N;Solidago_gigantea;Plantago;N;193;126,9
3;32;T;N;Solidago_gigantea;Ranunculus;N;69,5;44,8
1;64;T;N;Solidago_gigantea;Agrostis;N;184,3;56,1
1;64;T;N;Solidago_gigantea;Centaurea;N;144,1;68,2
1;64;T;N;Solidago_gigantea;Plantago;N;234,1;112,6
